"sample_year","est","lwr","upr","log_est","se","se_natural","type","model","region","species","est_mean","est_mean_sd"
2010,122769.7316818,82304.1625657424,183130.555580124,11.7180657796369,0.204028655347506,19150.4718371611,"index","sebs.forage","SEBS","Forage",354598.656119087,310291.792513534
2011,101202.65862244,67098.12020624,152641.803984513,11.5248803064632,0.209681913518622,15887.5432296888,"index","sebs.forage","SEBS","Forage",354598.656119087,310291.792513534
2012,74237.7328869275,54532.5592444536,101063.310810071,11.2150278293716,0.157387897026034,8852.43606262873,"index","sebs.forage","SEBS","Forage",354598.656119087,310291.792513534
2014,487708.90866028,346511.022039875,686442.752055457,13.0974740082122,0.17439305220058,64477.2638237996,"index","sebs.forage","SEBS","Forage",354598.656119087,310291.792513534
2016,431116.383249147,289187.663721833,642701.467669117,12.9741333633746,0.203729382137045,61868.0122607606,"index","sebs.forage","SEBS","Forage",354598.656119087,310291.792513534
2018,752968.91269535,341789.215312808,1658806.53363135,13.5317792213287,0.402981754265801,197873.463025543,"index","sebs.forage","SEBS","Forage",354598.656119087,310291.792513534
2022,217057.31210115,113300.589980549,415830.815573547,12.2879167087166,0.331698469767732,47009.4488148909,"index","sebs.forage","SEBS","Forage",354598.656119087,310291.792513534
2024,93131.4941506478,44515.5722655264,194841.372609941,11.4417676890963,0.376625973450358,22784.0814321923,"index","sebs.forage","SEBS","Forage",354598.656119087,310291.792513534
2003,207477.191247095,119643.123420763,359793.22218458,12.2427766909103,0.280876626316963,40693.4428694145,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2004,835358.61761459,561073.28973005,1243730.6013243,13.6356163938051,0.203069841967754,124919.844342495,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2005,1025080.68575534,536604.566994094,1958221.15006376,13.8402818852667,0.330243393475903,220905.64653057,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2006,117576.774555038,80411.3994404514,171919.628447752,11.6748467996616,0.19384824081291,16590.3634010133,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2007,28610.8717894785,17450.1204909934,46909.8184723983,10.2615420570751,0.252270056205368,5105.71257593779,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2008,73177.1042993654,29191.629706272,183439.179227793,11.2006378682271,0.468886460265376,19902.5319399484,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2009,1349.36556254733,393.461184820856,4627.61637394469,7.20738980730099,0.628790832327433,466.507720748372,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2010,10274.4269188097,5619.70664160361,18784.583474243,9.2374132634839,0.307851841013848,2119.96234716811,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2011,11560.1830507172,5215.72161930559,25622.1174978815,9.35532197693812,0.40607340316744,3154.72900627621,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2012,11591.1306559797,6966.99123558103,19284.4092006077,9.3579954860174,0.259727603667123,1945.2259700097,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2014,270055.805746907,187083.868622326,389825.904043272,12.506383904575,0.187284877105446,36235.4730074183,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2016,245717.087250326,142540.441147165,423577.242225938,12.4119361012695,0.277839322361516,43800.8649047517,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2018,352217.368124915,130430.285270508,951137.031951989,12.7720037870735,0.506850964810233,101625.043075391,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2022,63709.8877307371,27923.1965357813,145361.215699711,11.0620950529168,0.420865903657687,14002.280422502,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2024,32008.9872277756,12753.1595239831,80338.9357297011,10.3737719932186,0.469517641541869,7793.36585506018,"index","sebs.pollock","SEBS","Pollock",219051.032501975,311073.218820041
2003,65759.5014305297,34151.116016201,126622.86135365,11.0937594480488,0.334296399791957,13116.1206344486,"index","sebs.herring","SEBS","Herring",42671.2011797314,52566.6108605462
